Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,1,2.728496789932251,93.82455605027724
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,16,2.5922341346740723,1580.1041831875266
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,32,2.9892287254333496,2740.506248417776
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,64,3.8468477725982666,4259.071574577488
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,1,4.02301287651062,127.26780045608149
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,16,5.02964973449707,1628.741648511463
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,32,6.128018140792847,2673.621328066145
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,64,8.511641263961792,3849.7863083985226
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,1,7.651336431503296,133.83282896616922
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,16,10.858792543411255,1508.8233737314793
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,32,14.227379560470581,2303.1648140633547
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,64,31.464540719985962,2082.852585811691
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,1,15.762361764907837,129.9297675402627
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,16,26.02431893348694,1259.1299731512124
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,32,44.74606513977051,1464.6204039458949
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,64,90.92198419570923,1441.58754518454
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,1,34.645716190338135,118.22529450674992
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,16,63.81331133842468,1026.9957572400417
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,32,147.74438071250916,887.1538759572089
Nvidia A100 GPU,1,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,2048,64,282.16794991493225,929.0353496172437
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,1,1.692626953125,151.24419443242465
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,16,2.1016862392425537,1948.9112711116172
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,32,2.556985855102539,3203.772122420086
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,128,64,3.1730377674102783,5163.506141741276
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,1,3.108445405960083,164.71255985976123
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,16,3.9280872344970703,2085.493399448105
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,32,5.096845388412476,3214.5373758538035
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,256,64,6.537643194198608,5012.203790668441
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,1,5.887553691864014,173.926227019392
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,16,8.25770115852356,1984.0873005059664
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,32,10.971162557601929,2986.7390832975148
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,512,64,15.011932373046875,4365.593873688533
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,1,12.248033285140991,167.2105188091367
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,16,19.255063772201538,1701.7861061206681
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,32,26.559603214263916,2467.506742149058
Nvidia A100 GPU,2,DeepSpeed-MII,meta-llama/Llama-2-7b-hf,1024,64,39.442426919937134,3323.122085414741
