Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,KV Cache Block_size,Latency,Throughput
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,8,14.005365249700844,146.22967437737802
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,16,13.99969663657248,146.28888419266548
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,32,13.991018221713603,146.37962495264077
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,64,14.020640316419303,146.07036153702813
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,128,14.012758919969201,146.15251797998545
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,8,24.89088204409927,1316.4660031711535
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,16,24.966458911076188,1312.4808815183123
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,32,24.879735534079373,1317.0558004973793
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,64,24.77487556822598,1322.6302553876508
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,128,24.704433063976467,1326.4016184925804
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,8,46.57918341457844,1406.9804405263237
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,16,45.90180201642215,1427.743511606655
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,32,45.857902373187244,1429.1102865254122
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,64,45.6841256422922,1434.546444275818
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,128,45.61047025676817,1436.8630630436237
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,8,89.63302907068282,1462.3180914330055
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,16,88.2489915471524,1485.2520997927415
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,32,87.91284341551363,1490.931187158829
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,64,88.24184815306216,1485.3723345939638
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,128,88.05219635833055,1488.5716134393663
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,8,15.115392192266881,135.49102623005496
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,16,14.871934588067234,137.7090510903168
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,32,14.874929436482489,137.68132539688173
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,64,14.870830445550382,137.71927583323352
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,1,128,14.858755989000201,137.83118866183113
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,8,21.613671293482184,1516.0774657418572
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,16,19.85494950134307,1650.369344821725
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,32,19.713430639356375,1662.2170234835312
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,64,19.591813604347408,1672.5353079476424
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,16,128,19.57982941623777,1673.559013380634
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,8,30.602605057880282,2141.5170334698105
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,16,26.22699354030192,2498.799563102556
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,32,26.077006820589304,2513.1718701801137
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,64,25.92175380885601,2528.2239960789234
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,32,128,25.908147785812616,2529.551727965969
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,8,44.88313675392419,2920.2950034132855
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,16,35.96128025930375,3644.809057266242
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,32,35.615573917515576,3680.1877825570964
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,64,35.39454714395106,3703.1692895214865
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,1024,64,128,35.31509536970407,3711.500666438618
