Hardware,Num of Hardware,Framework,Model,Input Output Length,Batch Size,Latency,Throughput,area,avg_power,sum_power,Throughput_per_watt_area,Throughput_per_watt_avg,Throughput_per_watt_sum
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,1,12.791291356086733,160.10893216230744,5540372.068665385,432835.6589147287,55835800.0,2.8898588430158613e-05,0.0003699069817023784,2.86749598218898e-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,128,16,1.8080974817276,2265.3645842625456,764229.1266431808,423943.2631578947,8054922.0,0.0029642479006433448,0.0053435560395232095,0.0002812397915538531
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,256,16,3.929166734218597,2084.9204307511177,1671540.5232293606,428368.45,17134738.0,0.0012473047477922466,0.0048671194873271305,0.00012167798718317827
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,512,16,9.068403959274292,1806.7126336210488,3948100.3052629232,438605.6263736264,39913112.0,0.0004576156870210852,0.004119219009019277,4.52661429562558e-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,16,22.855718314647675,1433.6893528741027,10551279.916690588,460710.9260869565,105963513.0,0.00013587824076264103,0.0031119065593931718,1.3530028519100746e-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,2048,16,87.21258574724197,751.4511746038045,43218709.03700245,495045.5080091533,432669774.0,1.7387173086554632e-05,0.0015179436283056028,1.7367776067569825e-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,32,44.93795162439346,1458.3664281757203,21691119.0122478,481978.889135255,217372479.0,6.723334224261366e-05,0.00302578901493436,6.709066551960887e-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Llama-2-7b-hf,1024,64,90.71978312730788,1444.8006320304523,39485273.72709775,506844.5512820513,395338750.0,3.659087289140209e-05,0.0028505793904183506,3.654588962074809e-06
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,1,13.996009051799774,146.3274275131055,5759659.023695707,414353.4357142857,58009481.0,2.5405571217167982e-05,0.0003531464081161969,2.522474343687121e-06
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,128,16,1.9248948097229004,2127.908485861439,790572.0427827835,415773.25,8315465.0,0.0026916060405719412,0.00511795428364244,0.000255897714182122
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,256,16,3.992574036121368,2051.8091651866303,1654888.2278671265,424125.1,16965004.0,0.0012398475804200192,0.004837745196373972,0.00012094362990934929
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,512,16,8.535608291625977,1919.488270809456,3684267.988326192,433589.4534883721,37288693.0,0.0005209958333355395,0.004426971771030248,5.147641594221219e-05
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,16,19.286153495311737,1699.0427877682068,8906207.926861167,461281.1391752577,89488541.0,0.00019077061772203695,0.003683312937541714,1.8986149162586157e-05
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,2048,16,47.42074120044708,1382.0112959217545,23635462.45080924,498636.0547368421,236852126.0,5.8471938037939116e-05,0.0027715831673085062,5.8349119311758025e-06
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,32,23.233641982078552,2820.7372761683982,11732794.935792685,503497.7350427351,117818470.0,0.00024041477683747016,0.005602283942605986,2.3941384370111054e-05
Nvidia A100 GPU,1,TensorRT-LLM,mistralai/Mistral-7B-v0.1,1024,64,32.42965000867844,4041.733412630851,17973848.216866016,552927.009202454,180254205.0,0.00022486744985629917,0.007309705160651633,2.2422408468256543e-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,1,14.86092209815979,137.81109856255833,6171144.637046933,419792.3243243243,62129264.0,2.2331529508357923e-05,0.0003282839884801892,2.2181350572985757e-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,128,16,2.0410414934158325,2006.8185841460008,842297.6790395975,420934.90476190473,8839633.0,0.002382552670018289,0.004767527143611733,0.0002270251020767492
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,256,16,4.234828114509583,1934.4350652467224,1743941.1337002516,425218.0238095238,17859157.0,0.0011092318587281015,0.004549278151279052,0.00010831614645902505
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,512,16,9.010318458080292,1818.3597035138223,3872875.359298945,435070.2111111111,39156319.0,0.0004695115475761078,0.004179462663899638,4.643847404332931e-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,16,20.199362337589264,1622.2294274617566,9351750.108519671,465168.12376237626,93963961.0,0.00017346800423846507,0.0034874045416973727,1.7264378919293924e-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,2048,16,49.25287228822708,1330.6026015393436,24870378.160102844,506538.8658536585,249217122.0,5.3501502589691275e-05,0.0026268519381961127,5.3391299556831556e-06
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,32,24.299935698509216,2696.96186908102,12235081.05498135,505486.0699588477,122833115.0,0.00022042860664032852,0.0053353831675333465,2.195630933141295e-05
Nvidia A100 GPU,1,TensorRT-LLM,meta-llama/Meta-Llama-3-8B,1024,64,33.70355051755905,3888.9671262294287,18572567.46241474,552642.0741839763,186240379.0,0.00020939308117197698,0.007037044966168789,2.0881439068750117e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,128,16,1.1352025307355993,3608.166727170556,802466.9583867788,421867.9,8437358.0,0.004496343044982378,0.008552835442494099,0.0004276417721247049
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,256,16,2.4285815218376228,3373.162451553778,1837700.622315884,437297.1395348837,18803777.0,0.0018355342598202385,0.007713662282679296,0.00017938749494603013
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,512,16,5.446441129199229,3008.2029000851207,4518898.569140792,461140.6565656566,45652925.0,0.0006656938309321447,0.006523395535081858,6.589288419274605e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,1,7.838529322932785,261.2735011411224,5982206.758257508,433679.4964028777,60281450.0,4.367510380353786e-05,0.0006024575828653095,4.3342272148583415e-06
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,16,13.168710388265511,2488.3226249093605,12298312.62889111,497775.1572580645,123448239.0,0.00020233040905658962,0.004998888732446976,2.015680940502813e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,32,18.98840657070201,3451.3691159909204,23669362.986095667,518897.5054704595,237136160.0,0.0001458158852022504,0.006651350371903849,1.455437718140886e-05
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,1024,64,32.64119966746366,4015.5386853213895,46197232.17718256,528477.2891428572,462417628.0,8.692162919891808e-05,0.007598318353158058,8.68379240360921e-06
Nvidia A100 GPU,1,vLLM,meta-llama/Llama-2-7b-hf,2048,16,35.29766169023157,1856.6668969501943,44601767.31530595,517348.96060254925,446472153.0,4.162765308882824e-05,0.003588809562481308,4.158527882365363e-06
Nvidia A100 GPU,1,vLLM,meta-llama/Meta-Llama-3-8B,128,16,1.1650919041333434,3515.602490643706,881741.4048908949,419243.3181818182,9223353.0,0.003987112855473448,0.008385589795182027,0.00038116317250827395
